Entity,Year,Annual CO₂ emissions (per capita)
China,1907,0.04840261
China,1908,0.055020537
China,1909,0.058310255
China,1910,0.059680074
China,1911,0.05827084
China,1912,0.039898846
China,1913,0.056213327
China,1914,0.061269186
China,1915,0.057669863
China,1916,0.0676246
China,1917,0.071104296
China,1918,0.07631273
China,1919,0.08266413
China,1920,0.08693245
China,1921,0.083120845
China,1922,0.08528475
China,1923,0.09890104
China,1924,0.103484906
China,1925,0.09701566
China,1926,0.09184579
China,1927,0.09602494
China,1928,0.09940985
China,1929,0.10044768
China,1930,0.102641396
China,1931,0.10696789
China,1932,0.10303524
China,1933,0.110256605
China,1934,0.12636147
China,1935,0.1462837
China,1936,0.15108936
China,1937,0.141227
China,1938,0.12139731
China,1939,0.14638789
China,1940,0.17756674
China,1941,0.22169025
China,1942,0.24687532
China,1943,0.20974888
China,1944,0.19717897
China,1945,0.1064322
China,1946,0.06839545
China,1947,0.078831576
China,1948,0.07197712
China,1949,0.11541034
China,1950,0.14490601
China,1951,0.18440397
China,1952,0.22649482
China,1953,0.23163576
China,1954,0.27262098
China,1955,0.31566966
China,1956,0.35004622
China,1957,0.40577847
China,1958,0.8143453
China,1959,1.1033286
China,1960,1.2199106
China,1961,0.8701637
China,1962,0.6910785
China,1963,0.66726714
China,1964,0.65357304
China,1965,0.6915614
China,1966,0.74011
China,1967,0.604744
China,1968,0.6344425
China,1969,0.75757736
China,1970,0.9813481
China,1971,1.0771736
China,1972,1.1215359
China,1973,1.1424416
China,1974,1.141943
China,1975,1.2915548
China,1976,1.3182049
China,1977,1.4210548
China,1978,1.5612195
China,1979,1.5740019
China,1980,1.5200889
China,1981,1.4798604
China,1982,1.5850471
China,1983,1.6463654
China,1984,1.7673312
China,1985,1.8853258
China,1986,1.9533492
China,1987,2.059572
China,1988,2.175213
China,1989,2.172552
China,1990,2.1540327
China,1991,2.2259326
China,1992,2.3052905
China,1993,2.4401822
China,1994,2.5671887
China,1995,2.755138
China,1996,2.8505082
China,1997,2.8325536
China,1998,2.6898472
China,1999,2.822838
China,2000,2.8743548
China,2001,2.9158025
China,2002,3.1884003
China,2003,3.7397096
China,2004,4.0068736
China,2005,4.4900646
China,2006,4.9272113
China,2007,5.267368
China,2008,5.6240664
China,2009,5.877799
China,2010,6.3782344
China,2011,7.0077763
China,2012,7.140667
China,2013,7.2199216
China,2014,7.1978407
China,2015,7.0648346
China,2016,6.9532394
China,2017,7.084865
China,2018,7.2818375
China,2019,7.5264006
China,2020,7.6471825
China,2021,8.025529
China,2022,7.964287
China,2023,8.366814
India,1858,0.0016306345
India,1859,0.0026225285
India,1860,0.0026413742
India,1861,0.0020357708
India,1862,0.0022457154
India,1863,0.0024812713
India,1864,0.0023389156
India,1865,0.0022912421
India,1866,0.0025777572
India,1878,0.0069541484
India,1879,0.00661162
India,1880,0.007376274
India,1881,0.007152246
India,1882,0.008483122
India,1883,0.00935244
India,1884,0.010376405
India,1885,0.009273
India,1886,0.010368174
India,1887,0.011375812
India,1888,0.012549144
India,1889,0.014703918
India,1890,0.016115645
India,1891,0.017284762
India,1892,0.018952932
India,1893,0.01999356
India,1894,0.020230243
India,1895,0.025301976
India,1896,0.027325615
India,1897,0.029601838
India,1898,0.03268272
India,1899,0.035929587
India,1900,0.042497184
India,1901,0.04676396
India,1902,0.051255062
India,1903,0.051971376
India,1904,0.05781762
India,1905,0.058773577
India,1906,0.067479804
India,1907,0.074727364
India,1908,0.08500604
India,1909,0.08200695
India,1910,0.07948412
India,1911,0.08363586
India,1912,0.09608166
India,1913,0.105915904
India,1914,0.10660639
India,1915,0.1113691
India,1916,0.11253865
India,1917,0.11748533
India,1918,0.13189174
India,1919,0.14359692
India,1920,0.11597921
India,1921,0.12397458
India,1922,0.12101957
India,1923,0.12333363
India,1924,0.13069953
India,1925,0.1277203
India,1926,0.12605053
India,1927,0.13091344
India,1928,0.12405647
India,1929,0.12777013
India,1930,0.1284197
India,1931,0.116239466
India,1932,0.10668871
India,1933,0.10328146
India,1934,0.11374881
India,1935,0.117218636
India,1936,0.1136144
India,1937,0.1241089
India,1938,0.136815
India,1939,0.13263759
India,1940,0.13995251
India,1941,0.14319769
India,1942,0.14351086
India,1943,0.1259883
India,1944,0.12979308
India,1945,0.14496106
India,1946,0.14425357
India,1947,0.1479919
India,1948,0.14916655
India,1949,0.15787825
India,1950,0.17645483
India,1951,0.18091987
India,1952,0.18632448
India,1953,0.18563628
India,1954,0.19122285
India,1955,0.20321788
India,1956,0.20568933
India,1957,0.22556181
India,1958,0.23044972
India,1959,0.23826179
India,1960,0.25533837
India,1961,0.26962337
India,1962,0.2899332
India,1963,0.30427778
India,1964,0.29106775
India,1965,0.31358775
India,1966,0.3182756
India,1967,0.31187224
India,1968,0.33300883
India,1969,0.33230913
India,1970,0.33290812
India,1971,0.34396154
India,1972,0.35590246
India,1973,0.3583674
India,1974,0.36153808
India,1975,0.3831269
India,1976,0.39105976
India,1977,0.40412188
India,1978,0.40130892
India,1979,0.41165522
India,1980,0.4243972
India,1981,0.4475883
India,1982,0.45172003
India,1983,0.47764024
India,1984,0.47896573
India,1985,0.5145839
India,1986,0.53916126
India,1987,0.56289464
India,1988,0.5943027
India,1989,0.6390376
India,1990,0.668225
India,1991,0.6961713
India,1992,0.7258895
India,1993,0.7345036
India,1994,0.758703
India,1995,0.79189926
India,1996,0.84070516
India,1997,0.8587551
India,1998,0.85972553
India,1999,0.92538923
India,2000,0.9324355
India,2001,0.9282198
India,2002,0.9403603
India,2003,0.95606565
India,2004,0.99809515
India,2005,1.0345691
India,2006,1.1019763
India,2007,1.1695088
India,2008,1.2330486
India,2009,1.3155315
India,2010,1.348904
India,2011,1.3992052
India,2012,1.5060126
India,2013,1.5396302
India,2014,1.6371114
India,2015,1.6823633
India,2016,1.7520504
India,2017,1.7847193
India,2018,1.886328
India,2019,1.8810879
India,2020,1.7264521
India,2021,1.8909733
India,2022,1.9861935
India,2023,2.129469
United Kingdom,1750,1.0019121
United Kingdom,1760,1.070363
United Kingdom,1770,1.2627987
United Kingdom,1780,1.4520383
United Kingdom,1790,1.7707893
United Kingdom,1800,2.9153564
United Kingdom,1801,2.8286498
United Kingdom,1802,2.7656965
United Kingdom,1803,2.5437405
United Kingdom,1804,2.4763212
United Kingdom,1805,2.5825114
United Kingdom,1806,2.695625
United Kingdom,1807,2.811327
United Kingdom,1808,2.8766963
United Kingdom,1809,2.915259
United Kingdom,1810,2.8722124
United Kingdom,1811,2.8188872
United Kingdom,1812,2.7279038
United Kingdom,1813,2.6192143
United Kingdom,1814,2.5276635
United Kingdom,1815,2.4391406
United Kingdom,1816,2.3177464
United Kingdom,1817,2.3279696
United Kingdom,1818,2.303634
United Kingdom,1819,2.1739373
United Kingdom,1820,2.0557053
United Kingdom,1821,2.0387487
United Kingdom,1822,2.0682518
United Kingdom,1823,2.1145442
United Kingdom,1824,2.1529691
United Kingdom,1825,2.1886015
United Kingdom,1826,2.1842163
United Kingdom,1827,2.2401965
United Kingdom,1828,2.2364638
United Kingdom,1829,2.234891
United Kingdom,1830,2.8095102
United Kingdom,1831,2.6452432
United Kingdom,1832,2.5387402
United Kingdom,1833,2.4873807
United Kingdom,1834,2.6161683
United Kingdom,1835,2.8411562
United Kingdom,1836,3.0594063
United Kingdom,1837,2.9013233
United Kingdom,1838,2.8080924
United Kingdom,1839,2.8675888
United Kingdom,1840,3.0363529
United Kingdom,1841,3.0412488
United Kingdom,1842,3.1750915
United Kingdom,1843,3.2955952
United Kingdom,1844,3.490339
United Kingdom,1845,3.7006795
United Kingdom,1846,3.5360403
United Kingdom,1847,3.7643142
United Kingdom,1848,4.0223227
United Kingdom,1849,4.3204474
United Kingdom,1850,4.489172
United Kingdom,1851,4.252994
United Kingdom,1852,4.2159934
United Kingdom,1853,4.167399
United Kingdom,1854,4.9915624
United Kingdom,1855,4.6457763
United Kingdom,1856,4.969304
United Kingdom,1857,4.8508296
United Kingdom,1858,4.7254786
United Kingdom,1859,5.21251
United Kingdom,1860,5.8072352
United Kingdom,1861,6.007872
United Kingdom,1862,5.7708826
United Kingdom,1863,6.086277
United Kingdom,1864,6.4942226
United Kingdom,1865,6.8250237
United Kingdom,1866,6.974182
United Kingdom,1867,7.1007743
United Kingdom,1868,6.907395
United Kingdom,1869,7.185026
United Kingdom,1870,7.273863
United Kingdom,1871,7.6345577
United Kingdom,1872,7.967353
United Kingdom,1873,8.189286
United Kingdom,1874,7.8809423
United Kingdom,1875,8.238478
United Kingdom,1876,8.144492
United Kingdom,1877,8.210754
United Kingdom,1878,7.9860015
United Kingdom,1879,7.9602866
United Kingdom,1880,8.59724
United Kingdom,1881,8.958958
United Kingdom,1882,8.960591
United Kingdom,1883,9.250244
United Kingdom,1884,8.935579
United Kingdom,1885,8.759362
