Entity,Year,all years
China,1950,544044304
China,1951,553758189
China,1952,565131382
China,1953,577557087
China,1954,590113816
China,1955,603546968
China,1956,616558539
China,1957,630356163
China,1958,644219437
China,1959,652708165
China,1960,654802013
China,1961,655773420
China,1962,665073645
China,1963,684552592
China,1964,704798214
China,1965,723415690
China,1966,742402158
China,1967,761025974
China,1968,781010987
China,1969,802140300
China,1970,823308913
China,1971,844069819
China,1972,863677753
China,1973,882576897
China,1974,900307531
China,1975,916116747
China,1976,930372242
China,1977,943546327
China,1978,956161425
China,1979,969288020
China,1980,983163494
China,1981,997721024
China,1982,1013588115
China,1983,1029064904
China,1984,1043849592
China,1985,1059807770
China,1986,1077233559
China,1987,1096217389
China,1988,1115244112
China,1989,1133990957
China,1990,1153582668
China,1991,1170788481
China,1992,1184574195
China,1993,1197308522
China,1994,1209003049
China,1995,1220133877
China,1996,1230944759
China,1997,1241139564
China,1998,1250847078
China,1999,1260176600
China,2000,1269581120
China,2001,1278725010
China,2002,1286866794
China,2003,1294517277
China,2004,1302100264
China,2005,1310027084
China,2006,1318053984
China,2007,1325813524
China,2008,1333820960
China,2009,1342522666
China,2010,1351561462
China,2011,1360250601
China,2012,1369520822
China,2013,1379007984
China,2014,1387951920
China,2015,1396134112
China,2016,1404052581
China,2017,1412354694
China,2018,1419008910
China,2019,1423520298
China,2020,1426106040
China,2021,1426437224
China,2022,1425179509
China,2023,1422584878
India,1950,346278765
India,1951,353870007
India,1952,361874845
India,1953,370104517
India,1954,378687093
India,1955,387700839
India,1956,396988852
India,1957,406253849
India,1958,415777393
India,1959,425780636
India,1960,435990289
India,1961,446564674
India,1962,457283043
India,1963,468138526
India,1964,479229550
India,1965,490140093
India,1966,500740202
India,1967,511606346
India,1968,522716839
India,1969,533880495
India,1970,545864222
India,1971,558096336
India,1972,570482089
India,1973,583465547
India,1974,597041345
India,1975,611309484
India,1976,625861838
India,1977,640801057
India,1978,655728181
India,1979,671155694
India,1980,687353977
India,1981,703696202
India,1982,720313419
India,1983,737372629
India,1984,754875401
India,1985,772647748
India,1986,790689937
India,1987,808931212
India,1988,827342945
India,1989,846039483
India,1990,864972170
India,1991,883927551
India,1992,902957019
India,1993,922118324
India,1994,941163717
India,1995,960300991
India,1996,979678413
India,1997,999133716
India,1998,1018665024
India,1999,1038225772
India,2000,1057922676
India,2001,1077898527
India,2002,1097600334
India,2003,1116802952
India,2004,1135991467
India,2005,1154676277
India,2006,1172878840
India,2007,1190675980
India,2008,1207930907
India,2009,1225524711
India,2010,1243481513
India,2011,1261224903
India,2012,1278674446
India,2013,1295829456
India,2014,1312277131
India,2015,1328024445
India,2016,1343944244
India,2017,1359657354
India,2018,1374659017
India,2019,1389030252
India,2020,1402617645
India,2021,1414203840
India,2022,1425423157
India,2023,1438069540
United Kingdom,1950,50120975
United Kingdom,1951,50346783
United Kingdom,1952,50496184
United Kingdom,1953,50726986
United Kingdom,1954,50958197
United Kingdom,1955,51176702
United Kingdom,1956,51400408
United Kingdom,1957,51655860
United Kingdom,1958,51935592
United Kingdom,1959,52226419
United Kingdom,1960,52538492
United Kingdom,1961,52884902
United Kingdom,1962,53272784
United Kingdom,1963,53652890
United Kingdom,1964,54009087
United Kingdom,1965,54358980
United Kingdom,1966,54676292
United Kingdom,1967,54973620
United Kingdom,1968,55240601
United Kingdom,1969,55456156
United Kingdom,1970,55663752
United Kingdom,1971,55890332
United Kingdom,1972,56079191
United Kingdom,1973,56188738
United Kingdom,1974,56224492
United Kingdom,1975,56220085
United Kingdom,1976,56201097
United Kingdom,1977,56175779
United Kingdom,1978,56175504
United Kingdom,1979,56218716
United Kingdom,1980,56282054
United Kingdom,1981,56304540
United Kingdom,1982,56292705
United Kingdom,1983,56332011
United Kingdom,1984,56451263
United Kingdom,1985,56606370
United Kingdom,1986,56751883
United Kingdom,1987,56885983
United Kingdom,1988,57026498
United Kingdom,1989,57182093
United Kingdom,1990,57367820
United Kingdom,1991,57555147
United Kingdom,1992,57719216
United Kingdom,1993,57860992
United Kingdom,1994,58003148
United Kingdom,1995,58154574
United Kingdom,1996,58298512
United Kingdom,1997,58447041
United Kingdom,1998,58626774
United Kingdom,1999,58838619
United Kingdom,2000,59057278
United Kingdom,2001,59288055
United Kingdom,2002,59540709
United Kingdom,2003,59820332
United Kingdom,2004,60169911
United Kingdom,2005,60596057
United Kingdom,2006,61051051
United Kingdom,2007,61535810
United Kingdom,2008,62027249
United Kingdom,2009,62506169
United Kingdom,2010,63006430
United Kingdom,2011,63509238
United Kingdom,2012,63960443
United Kingdom,2013,64389337
United Kingdom,2014,64865865
United Kingdom,2015,65382063
United Kingdom,2016,65893305
United Kingdom,2017,66354423
United Kingdom,2018,66752425
United Kingdom,2019,67110910
United Kingdom,2020,67351806
United Kingdom,2021,67668749
United Kingdom,2022,68179267
United Kingdom,2023,68682907
United States,1950,154202632
United States,1951,156481263
United States,1952,158794170
United States,1953,161168268
United States,1954,163636251
United States,1955,166199979
United States,1956,168824918
United States,1957,171499183
United States,1958,174215249
United States,1959,177145721
United States,1960,180274505
United States,1961,183489436
United States,1962,186724236
United States,1963,189825167
United States,1964,192819400
United States,1965,195653733
United States,1966,198265356
United States,1967,200699861
United States,1968,203010975
United States,1969,205299986
United States,1970,207796288
United States,1971,210426379
United States,1972,212842531
United States,1973,215006504
United States,1974,217076422
United States,1975,219129243
United States,1976,221168704
United States,1977,223259362
United States,1978,225396049
United States,1979,227575037
United States,1980,229858606
United States,1981,232201562
United States,1982,234583103
United States,1983,236986311
United States,1984,239353915
United States,1985,241690387
United States,1986,243953759
United States,1987,246161249
United States,1988,248393183
United States,1989,250674998
United States,1990,253373337
United States,1991,256471373
United States,1992,259605966
United States,1993,262633187
United States,1994,265474761
United States,1995,268205740
United States,1996,270860655
United States,1997,273467966
United States,1998,276119277
United States,1999,278785441
United States,2000,281484082
United States,2001,284279583
United States,2002,287084300
United States,2003,289908046
United States,2004,292786200
United States,2005,295716618
United States,2006,298730164
United States,2007,301844176
United States,2008,304970280
United States,2009,308023398
United States,2010,311062741
United States,2011,314105041
United States,2012,317115301
United States,2013,320110710
United States,2014,323115328
United States,2015,326126448
United States,2016,329179362
United States,2017,332204602
United States,2018,335056439
United States,2019,337790020
United States,2020,339436106
United States,2021,340161392
United States,2022,341533996
United States,2023,343477286
